Registro_ID,WHP_psi,Qo_bpd
147,260.04,863.71
148,367.39,1765.35
149,315.99,1257.93
150,363.32,1607.98
151,264.2,1048.46
152,299.02,1129.36
153,320.18,1505.8
154,321.64,1538.5
155,304.25,1299.93
156,341.8,1227.17
157,282.63,1206.3
158,315.02,1464.59
159,324.21,1281.48
160,338.01,1543.03
161,344.91,1550.24
162,280.64,1332.38
163,266.31,1212.73
164,364.72,1524.47
165,331.63,1635.93
166,293.8,1303.09
167,374.29,1681.03
168,324.05,1346.23
169,361.28,1572.55
170,322.36,1344.46
171,392.13,1743.81
172,381.44,1921.87
173,311.29,1236.16
174,354.0,1399.4
175,342.59,1718.19
176,367.9,1630.44
177,286.23,1207.74
178,344.01,1672.84
179,357.04,1534.03
180,258.44,1382.12
181,278.59,1334.99
182,248.63,1060.27
183,310.57,1656.45
184,345.11,1480.33
185,372.58,1765.67
186,322.59,1487.59
187,377.0,1852.72
188,271.7,1410.02
189,260.38,1175.56
190,318.06,1340.84
191,333.44,1555.69
192,318.86,1353.52
193,247.64,1355.98
194,316.88,1442.35
195,274.34,1190.71
196,343.44,1567.64
197,332.83,1336.08
198,287.1,1175.38
199,302.01,1503.12
200,282.93,1194.35
201,317.81,1304.5
202,353.43,1654.83
203,285.5,1427.03
204,337.64,1605.66
205,301.44,1476.01
206,292.25,1224.31
207,316.25,1252.53
208,283.77,1457.11
209,300.62,1314.08
210,278.07,1221.23
211,388.77,1908.83
212,321.23,1512.3
213,295.51,1384.5
214,327.49,1733.5
215,316.07,1345.09
216,312.27,1516.54
217,341.5,1543.57
218,346.51,1591.54
219,301.43,1539.86
220,299.85,1410.25
221,310.37,1461.27
222,239.43,1206.15
223,266.97,1157.56
224,367.84,1554.58
225,377.57,1573.71
226,311.28,1164.81
227,340.18,1777.55
228,330.89,1356.64
229,427.76,1898.37
230,359.19,1583.12
231,315.52,1456.74
232,286.56,1387.39
233,263.77,1290.24
234,327.12,1402.08
235,293.53,1300.82
236,270.22,1249.9
237,297.37,1308.32
238,282.15,1462.54
239,379.05,1764.64
240,350.86,1667.04
241,319.72,1518.29
242,371.8,1813.91
243,322.71,1473.91
244,289.86,1148.73
245,373.31,1727.85
246,338.86,1446.72
247,283.7,1213.2
248,313.34,1480.39
249,289.35,1450.68
250,271.6,1224.76
251,352.42,1622.93
252,386.83,1945.0
253,271.05,1248.62
254,339.7,1840.87
255,297.23,1405.38
256,302.95,1151.99
257,299.27,1437.1
258,289.76,1349.66
259,321.7,1602.41
260,290.92,1389.91
261,329.47,1465.98
262,318.24,1285.17
263,311.64,1377.28
264,288.24,1195.0
265,299.81,1279.5
266,346.44,1629.6
267,337.53,1719.28
268,285.79,1333.4
269,323.48,1312.14
270,346.3,1611.7
271,261.57,1320.66
272,339.02,1452.41
273,296.81,1319.55
274,339.97,1531.63
275,293.29,1225.6
276,256.83,1233.52
277,263.04,1169.15
278,321.68,1497.92
279,329.09,1374.41
280,288.35,1245.08
281,342.35,1627.26
282,261.85,1133.57
283,317.69,1636.83
284,277.61,1201.31
285,297.19,1364.3
286,321.66,1559.38
287,289.89,1134.28
288,306.54,1168.14
289,355.22,1415.41
290,299.81,1500.65
291,349.25,1505.4
292,280.46,1569.06
293,338.54,1455.73
294,370.45,1689.19
295,233.49,1235.77
296,292.11,1555.22
297,340.2,1778.27
298,312.89,1553.02
299,332.99,1621.34
300,298.86,1415.98
301,323.03,1547.04
302,314.55,1349.34
303,360.87,1525.74
304,328.9,1479.67
305,331.82,1472.75
306,305.58,1320.74
307,302.93,1446.77
308,304.86,1486.51
309,333.81,1512.74
310,305.27,1551.0
311,330.14,1348.64
312,392.64,1743.64
313,350.49,1491.18
314,308.59,1164.67
315,362.04,1619.27
316,305.72,1361.12
317,248.67,1300.61
318,284.72,1356.92
319,254.52,1022.45
320,307.7,1607.13
321,320.64,1589.42
322,378.68,1773.89
323,331.44,1464.31
324,312.33,1290.36
325,349.03,1525.97
326,242.61,1222.4
327,328.25,1703.26
328,346.98,1746.6
329,268.25,1148.46
330,360.03,1485.79
331,331.85,1510.22
332,305.46,1162.38
333,342.15,1578.44
334,399.47,1779.92
335,326.37,1412.72
336,328.69,1287.73
337,303.92,1429.28
338,290.26,1242.23
339,349.06,1430.39
340,290.04,960.5
341,322.5,1447.97
342,303.28,1577.44
343,336.76,1714.79
344,331.68,1437.7
345,356.31,1531.15
346,302.15,1415.93
347,310.55,1277.69
348,285.74,1322.06
349,304.45,1461.95
350,333.21,1646.66
351,346.49,1547.21
352,287.72,1270.32
353,350.44,1471.61
354,367.45,1554.29
355,334.47,1477.94
356,385.69,1779.68
357,292.92,1427.76
358,276.44,1147.59
359,257.74,1338.97
360,372.36,1643.09
361,342.9,1540.5
362,318.05,1341.58
363,329.8,1193.19
364,280.61,1368.82
365,405.6,1913.63
366,324.52,1426.59
367,323.83,1465.27
368,345.4,1616.22
369,336.84,1328.25
370,327.84,1411.78
371,292.33,1410.81
372,336.5,1363.74
373,385.87,1771.65
374,367.09,1489.11
375,375.76,1746.9
376,302.11,1355.21
377,285.36,1090.32
378,315.6,1559.96
379,321.95,1360.63
380,358.3,1515.1
381,260.76,1197.51
382,373.53,1818.74
383,314.47,1293.22
384,305.06,1380.17
385,284.58,1332.05
386,262.08,1262.53
387,348.81,1590.82
388,322.57,1407.5
389,274.85,1137.52
390,274.67,1246.36
391,308.25,1258.46
392,378.42,1352.31
393,310.91,1451.5
394,267.39,1311.73
395,311.4,1117.74
396,310.45,1275.88
397,225.61,1089.54
398,318.1,1678.35
399,311.92,1406.12
400,344.37,1462.29
401,384.71,1709.26
402,359.43,1782.42
403,310.59,1320.13
404,281.27,1169.82
405,410.07,1787.37
406,322.07,1334.93
407,320.49,1456.91
408,319.16,1631.16
409,326.93,1509.97
410,314.95,1386.98
411,299.92,1314.63
412,300.86,1166.29
413,318.85,1540.81
414,300.98,1345.07
415,295.05,1306.07
416,323.73,1839.94
417,311.08,1435.69
418,372.64,1586.66
419,227.22,971.31
420,358.2,1749.73
421,363.61,1649.85
422,247.43,940.85
423,308.01,1496.33
424,307.0,1301.32
425,270.74,1443.11
426,292.78,1447.1
427,281.13,1211.41
428,381.33,1869.7
429,352.75,1595.51
430,364.5,1742.6
431,345.26,1611.83
432,280.48,1160.61
433,301.64,1280.16
434,337.13,1640.67
435,277.23,1207.34
436,344.95,1503.86
437,311.59,1287.53
438,306.88,1431.8
439,344.88,1799.48
440,335.55,1381.87
441,307.37,1386.05
442,360.58,1792.06
443,282.16,1260.18
444,341.56,1591.29
445,340.76,1405.93
446,309.17,1442.64
447,331.41,1468.91
448,276.21,1361.24
449,352.34,1728.02
450,313.53,1721.63
451,301.7,1427.23
452,356.72,1644.31
453,295.35,1352.39
454,270.7,1175.79
455,265.52,1235.45
456,341.21,1500.0
457,275.18,1258.55
458,381.42,1874.49
459,247.13,991.31
460,379.38,1843.98
461,327.39,1631.29
462,316.62,1410.6
463,300.93,1099.55
464,333.97,1429.93
465,318.68,1589.71
466,358.62,1611.03
467,324.0,1338.07
468,325.26,1403.1
469,307.27,1483.61
470,318.01,1496.64
471,330.77,1459.81
472,260.14,1126.63
473,272.81,1180.65
474,346.01,1446.37
475,325.98,1660.76
476,313.56,1372.34
477,320.65,1588.96
478,332.17,1677.3
479,301.11,1474.79
480,292.76,1265.62
481,326.85,1519.29
482,285.76,1283.0
483,334.29,1395.86
484,260.41,1210.77
485,356.02,1460.61
486,336.54,1656.96
487,328.96,1424.57
488,354.39,1618.91
489,378.29,1736.31
490,355.5,1568.69
491,255.57,1220.47
492,275.21,1181.48
493,298.13,1446.15
494,320.91,1282.59
495,338.12,1536.7
496,294.6,1558.37
497,326.54,1349.38
498,293.56,1239.7
499,298.6,1405.35
500,270.77,1240.0
501,287.69,1336.67
502,272.69,1285.81
503,285.84,1362.47
504,356.88,1739.11
505,286.77,1339.65
506,412.13,1825.65
507,337.27,1598.41
508,326.47,1697.1
509,289.96,1288.89
510,344.51,1433.36
511,299.85,1482.19
512,324.27,1444.77
513,409.6,1582.49
514,316.64,1526.56
515,360.22,1556.77
516,295.39,1318.39
517,318.78,1474.33
518,381.98,1741.76
519,298.06,1426.39
520,383.44,1673.2
521,344.77,1613.04
522,300.31,1320.27
523,342.13,1628.26
524,354.04,1667.02
525,341.76,1425.68
526,265.04,1323.01
527,294.55,1261.16
528,311.34,1497.98
529,317.39,1472.35
530,341.72,1758.34
531,326.22,1441.17
532,273.26,1187.77
533,333.31,1497.55
534,341.37,1499.79
535,339.59,1624.16
536,357.83,1416.27
537,349.19,1444.9
538,336.07,1384.18
539,317.54,1542.99
540,261.87,1383.67
541,335.04,1495.13
542,327.27,1452.45
543,329.51,1491.18
544,275.31,1378.34
545,282.16,1158.45
546,356.86,1634.48
547,318.62,1550.79
548,343.85,1607.47
549,320.99,1467.21
550,321.04,1564.81
551,352.84,1263.39
552,301.94,1440.07
553,323.36,1376.65
554,303.82,1147.52
555,304.79,1432.91
556,309.18,1556.14
557,327.77,1458.49
558,303.24,1478.94
559,363.95,1831.25
560,288.69,1456.89
561,313.46,1607.36
562,304.61,1459.8
563,370.64,1676.95
564,326.88,1278.72
565,356.11,1572.99
566,268.01,1104.83
567,329.35,1742.57
568,351.14,1559.01
569,322.88,1467.74
570,357.29,1673.99
571,301.89,1363.76
572,369.33,1865.38
573,400.46,1727.36
574,307.3,1406.21
575,304.41,1280.74
576,370.87,1510.51
577,375.29,1615.37
578,301.7,1353.21
579,305.29,1322.3
580,310.14,1312.53
581,272.94,1059.49
582,287.85,1285.34
583,284.86,1101.28
584,293.13,1410.28
585,318.79,1444.43
586,328.2,1301.98
587,374.27,1647.1
588,285.06,1192.5
589,354.45,1633.33
590,312.51,1567.15
591,318.27,1207.19
592,343.62,1560.09
593,280.7,1243.96
594,333.38,1580.79
595,325.83,1491.8
596,337.24,1427.32
597,330.12,1447.26
598,405.94,1731.19
599,297.68,1468.68
600,301.42,1358.93
601,298.19,1570.0
602,300.56,1345.23
603,297.69,1254.6
604,361.62,1445.62
605,369.72,1447.35
606,300.02,1160.01
607,290.87,1340.96
608,336.5,1575.29
609,300.67,1163.28
610,342.15,1647.09
611,327.1,1413.99
612,266.95,1218.89
613,374.16,1877.2
614,382.86,1830.47
615,298.55,1311.26
616,306.43,1271.99
617,330.01,1226.81
618,331.71,1406.38
619,343.05,1518.39
620,390.36,1638.15
621,313.81,1396.38
622,292.06,1323.49
623,271.72,1195.77
624,294.42,1246.88
625,318.84,1455.02
626,382.81,1775.68
627,301.88,1227.63
628,327.83,1644.56
629,319.43,1425.58
630,361.59,1629.43
631,408.44,1922.98
632,301.42,1384.37
633,302.87,1477.29
634,356.55,1638.91
635,343.87,1473.91
636,384.63,1774.24
637,340.44,1394.72
638,307.42,1396.44
639,340.67,1529.04
640,358.8,1589.65
641,348.72,1553.8
642,337.75,1294.07
643,357.33,1542.15
644,360.93,1635.31
645,368.38,1676.87
646,342.7,1418.85
647,314.15,1565.56
648,325.13,1359.17
649,362.23,1746.36
650,291.41,1362.6
651,332.9,1420.52
652,306.23,1591.09
653,321.01,1301.29
654,364.75,1751.65
655,326.69,1590.17
656,321.63,1366.84
657,272.41,1392.92
658,346.12,1527.53
659,342.59,1576.31
660,395.71,1811.95
661,309.23,1375.41
662,327.67,1571.81
663,328.73,1574.5
664,375.21,1478.63
665,316.66,1581.51
666,329.77,1284.45
667,341.28,1659.65
668,326.53,1604.6
669,304.37,1238.77
670,326.79,1421.27
671,357.58,1476.41
672,284.07,1252.53
673,324.65,1423.98
674,295.5,1423.29
675,361.83,1785.46
676,266.69,1367.58
677,300.44,1284.51
678,333.2,1474.3
679,374.79,1484.56
680,317.7,1332.94
681,300.57,1468.34
682,385.84,1930.15
683,269.32,1063.82
684,243.04,1022.59
685,335.4,1506.13
686,302.43,1394.55
687,284.26,1182.0
688,344.79,1602.45
689,328.53,1421.54
690,300.26,1349.42
691,275.19,1303.91
692,350.54,1578.18
693,342.76,1490.04
694,316.53,1411.23
695,384.63,1720.24
696,282.55,1227.06
697,266.61,1168.67
698,295.78,1522.86
699,318.4,1500.13
700,328.52,1442.87
701,311.56,1485.64
702,332.32,1455.39
703,276.2,1383.66
704,370.53,1711.75
705,317.12,1414.18
706,359.11,1669.7
707,332.0,1305.47
708,335.99,1376.73
709,339.94,1386.47
710,335.67,1527.67
711,342.5,1749.13
712,366.52,1917.1
713,326.88,1547.52
714,344.82,1611.77
715,316.86,1209.74
716,370.4,1601.7
717,296.33,1238.93
718,383.03,1649.15
719,318.59,1413.5
720,269.92,1158.0
721,324.48,1222.66
722,296.16,1422.48
723,349.42,1443.67
724,297.16,1365.92
725,304.38,1618.62
726,253.87,1032.07
727,304.17,1065.13
728,235.16,1023.92
729,264.56,1322.65
730,346.61,1794.77
731,347.5,1416.22
732,334.89,1566.61
733,286.16,1231.86
734,318.33,1419.77
735,319.87,1756.75
736,279.46,1077.2
737,372.62,1707.23
738,350.71,1634.31
739,312.27,1535.49
740,320.94,1455.99
741,327.29,1509.79
742,248.54,1071.43
743,311.35,1433.36
744,296.13,1291.4
745,284.94,1356.83
746,310.16,1351.37
747,382.92,1768.39
748,342.43,1537.42
749,300.01,1485.17
750,340.04,1524.01
751,368.98,1447.63
752,352.36,1737.06
753,322.09,1340.7
754,297.36,1259.66
755,344.44,1478.49
756,333.77,1666.91
757,351.33,1324.71
758,342.23,1916.57
759,356.73,1732.03
760,301.27,1382.49
761,366.11,1640.9
762,326.92,1505.39
763,392.63,1829.39
764,295.88,1408.88
765,380.76,1780.09
766,326.93,1481.92
767,297.2,1313.72
768,303.06,1345.64
769,308.79,1366.16
770,334.85,1642.86
771,338.3,1593.57
772,299.92,996.8
773,319.15,1514.87
774,394.98,1800.78
775,380.46,1709.84
776,335.27,1462.1
777,321.33,1580.88
778,324.2,1572.61
779,341.47,1443.88
780,284.2,1327.76
781,310.99,1282.86
782,261.6,1011.64
783,333.97,1427.67
784,342.65,1645.42
785,303.09,1478.27
786,375.09,1749.47
787,277.1,1333.95
788,268.75,1271.3
789,327.86,1398.37
790,356.65,1656.75
791,378.94,1801.27
792,303.94,1458.24
793,357.75,1752.56
794,318.65,1518.93
795,313.96,1454.98
796,350.93,1707.59
797,342.83,1539.56
798,264.83,1085.89
799,371.68,1652.99
800,368.3,1567.98
801,298.11,1260.45
802,333.85,1485.0
803,337.29,1422.72
804,329.12,1444.1
805,300.74,1126.09
806,296.49,1359.81
807,319.11,1436.12
808,361.05,1526.65
809,339.03,1604.73
810,307.03,1494.14
811,347.01,1368.64
812,220.3,899.83
813,360.21,1528.63
814,259.11,1053.21
815,307.31,1482.45
816,280.81,1240.39
817,274.69,1204.35
818,360.63,1382.37
819,303.63,1442.59
820,332.13,1345.86
821,318.36,1439.8
822,336.7,1548.42
823,322.69,1615.38
824,275.1,1080.87
825,354.87,1234.57
826,302.72,1384.3
827,265.52,1410.9
828,305.02,1521.25
829,372.53,1701.53
830,349.76,1514.91
831,307.8,1481.94
832,307.78,1268.17
833,308.74,1446.51
834,392.69,1827.74
835,333.37,1627.38
836,335.05,1838.89
837,356.06,1649.36
838,328.36,1416.53
839,310.93,1396.13
840,313.13,1196.79
841,317.49,1345.36
842,318.7,1385.02
843,345.47,1491.71
844,321.82,1466.46
845,345.64,1456.7
846,317.17,1561.81
847,322.75,1452.41
848,250.06,1124.17
849,352.07,1544.97
850,332.13,1513.19
851,354.93,1696.2
852,218.63,879.78
853,393.09,1689.95
854,315.11,1381.57
855,358.79,1453.03
856,283.6,1177.9
857,341.45,1479.37
858,283.13,1379.01
859,298.17,1373.26
860,386.99,1764.69
861,313.33,1512.08
862,327.61,1457.76
863,350.45,1623.89
864,337.35,1505.68
865,325.26,1495.53
866,332.77,1427.55
867,404.12,1525.88
868,317.98,1414.81
869,327.04,1642.4
870,356.77,1716.62
871,358.69,1729.97
872,361.55,1775.29
873,342.36,1551.24
874,279.99,1283.65
875,377.17,1623.15
876,279.88,1221.52
877,330.59,1561.56
878,293.6,1465.67
879,317.76,1413.16
880,331.51,1437.76
881,331.25,1490.68
882,334.77,1578.6
883,376.48,1520.9
884,335.87,1235.89
885,311.45,1335.48
886,353.74,1445.36
887,361.63,1566.36
888,277.03,1228.92
889,340.91,1479.7
890,344.54,1724.73
891,309.59,1432.34
892,368.15,1692.73
893,314.75,1491.03
894,324.4,1323.12
895,313.94,1537.43
896,320.55,1433.36
897,281.63,1347.79
898,269.6,1084.57
899,375.81,1504.68
900,290.36,1404.75
901,285.3,1329.02
902,244.63,992.59
903,297.64,1235.0
904,273.69,1366.67
905,377.47,1555.89
906,355.34,1796.17
907,295.91,1223.54
908,398.84,1871.37
909,354.36,1555.19
910,308.63,1461.22
911,232.52,981.05
912,400.18,1781.29
913,271.36,1226.05
914,262.41,1060.59
915,355.79,1689.95
916,405.39,1762.68
917,368.45,1630.59
918,339.74,1409.49
919,340.82,1226.19
920,349.87,1551.49
921,346.56,1849.05
922,329.84,1578.44
923,323.65,1454.1
924,317.81,1398.59
925,293.61,1323.95
926,310.18,1461.45
927,260.75,1031.66
928,316.56,1558.23
929,285.4,1370.14
930,281.37,1352.37
931,326.3,1520.95
932,368.72,1661.59
933,352.14,1665.38
934,265.03,1263.66
935,285.36,1241.65
936,352.93,1519.34
937,285.61,1297.48
938,312.14,1590.5
939,339.25,1377.94
940,286.11,1111.38
941,323.69,1476.37
942,273.31,1236.0
943,298.95,1366.09
944,331.19,1519.64
945,264.25,1162.32
946,335.42,1688.16
947,319.31,1244.8
948,339.34,1427.6
949,327.84,1462.88
950,367.74,1457.67
951,515.77,53.28
952,478.71,69.62
953,455.06,20.67
954,454.68,36.0
955,472.78,45.81
956,562.68,92.76
957,486.72,99.39
958,573.56,14.04
959,525.61,78.49
960,506.76,43.46
961,525.41,45.32
962,517.17,77.88
963,548.64,92.66
964,486.72,95.58
965,495.9,61.94
966,566.23,42.14
967,573.04,80.88
968,566.03,32.59
969,504.53,60.77
970,551.45,42.27
971,511.92,69.1
972,514.68,31.64
973,476.61,27.24
974,526.85,92.64
975,474.2,19.16
976,209.78,3422.85
977,308.49,2674.85
978,539.58,649.68
979,439.25,1721.46
980,84.21,2542.33
981,131.02,940.96
982,54.31,2278.09
983,397.01,2366.44
984,296.22,653.18
985,123.85,2021.29
986,576.86,2723.53
987,341.31,1796.25
988,183.04,141.15
989,325.33,130.73
990,423.79,1313.9
991,91.93,3249.06
992,201.09,877.5
993,493.83,2256.84
994,302.82,855.06
995,350.62,1193.68
996,288.05,2983.34
997,74.14,2578.13
998,141.16,424.36
999,295.05,1557.59
1000,165.05,199.18
